date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265
2022-01-01,2,0,0,89,1,0,65,1,0,8,1,53,277,1,0,0,8,0,0,0,0,1,0,149,25,0,0,5,1,0,0,0,23,0,1,5,10,0,1,5,188,61,826,0,95,0,1,2656,7,628,2,3,1,1,0,0,0,0,0,0,8,1,0,1,54,27,2,1707,5,315,2,0,0,177,390,5,0,0,2315,39,0,12,6,0,1,1,296,175,1,1025,0,1,5,0,5,0,15,0,0,1009,0,1,0,0,0,2,1473,0,0,0,0,12,698,869,0,58,1,0,2,0,0,2,0,1,304,0,7,0,17,1,1,3354,2,2,1,1,856,1672,1,710,1487,1999,503,698,15,46,1,916,2,0,471,40,0,0,0,0,3,463,4,2,2052,1526,1532,1359,1,229,1,7,3,1760,1,0,5,1,0,0,2,0,17,1,25,1,1,0,0,1918,0,3,5,3,1,0,19,2,1,1,0,2,0,0,2,2,0,0,1,0,0,2,98,2,491,1,2,0,1,8,1,0,5,1,0,0,15,100,4,58,0,1,1218,2281,638,189,764,1442,0,1298,1677,974,1606,0,0,0,8,56,0,924,5,1,1360,1,0,0,0,1,40,44,0,0,0,23,404,566,1491,508,18
2022-01-02,3,0,0,25,2,0,34,1,0,22,0,41,340,3,1,0,2,1,1,0,0,0,0,206,16,1,0,1,0,0,0,0,19,2,3,0,4,1,0,5,192,60,952,1,66,0,0,1983,4,356,0,8,0,0,3,3,1,0,0,0,5,0,1,1,26,16,1,1501,1,490,0,0,0,181,380,0,1,2,1288,2,1,3,2,0,0,0,232,123,1,919,1,0,5,0,5,0,12,0,0,968,1,0,0,0,0,4,1041,0,0,0,0,3,636,711,0,51,2,0,0,1,0,1,1,0,214,0,5,1,15,7,0,4590,4,2,1,2,637,2872,0,773,1440,1584,556,482,17,31,0,513,0,0,548,33,1,0,1,0,0,369,6,1,1598,1510,1308,1055,1,213,2,8,3,1413,0,0,2,0,0,0,1,0,10,1,10,0,0,1,0,2522,0,2,8,2,1,0,18,2,1,3,2,1,0,1,1,2,1,0,1,0,2,0,84,1,455,0,0,0,4,8,3,1,2,1,0,0,11,71,4,42,0,2,1056,1922,502,146,600,1166,0,1734,1762,1041,1581,0,1,0,3,32,0,713,4,0,1158,0,0,0,0,0,4,8,2,2,0,18,358,598,1255,615,17
2022-01-03,1,0,0,36,1,1,43,0,0,18,0,31,302,5,0,1,4,3,1,0,1,1,1,231,16,2,0,4,0,0,0,0,23,2,0,1,1,2,2,6,224,76,1195,0,63,0,0,1778,5,464,3,11,1,1,0,0,0,0,0,0,7,3,1,0,42,16,1,1527,3,416,6,1,0,233,688,3,1,1,1048,2,0,9,5,0,0,3,220,122,11,1024,4,1,9,0,5,1,16,0,0,1185,0,1,0,0,0,0,1283,2,0,0,0,7,749,520,0,66,2,0,2,1,1,1,1,2,246,1,1,0,16,21,0,5476,1,7,2,3,998,2790,0,1864,2062,2113,1008,407,24,38,0,306,2,0,787,65,1,1,3,0,2,286,3,0,2504,2068,1816,1272,2,334,1,4,2,1902,0,0,1,5,0,0,1,0,19,0,19,2,0,0,0,2412,0,1,1,2,3,1,14,2,0,5,2,0,0,1,0,2,2,0,1,1,3,0,85,6,369,1,1,0,7,6,0,1,7,3,0,1,21,84,2,61,0,4,1430,1734,616,64,744,1449,1,3506,3261,1735,2007,0,0,4,7,71,0,727,9,0,950,0,0,0,0,1,3,7,2,1,2,17,316,1057,1554,756,8
2022-01-04,0,0,0,49,0,1,62,0,1,14,1,23,260,2,0,0,6,2,0,1,0,3,0,258,15,2,0,1,1,0,0,1,17,0,1,2,3,1,1,8,224,77,1277,0,57,0,1,1928,2,468,5,12,0,1,2,2,0,0,0,1,5,2,2,0,40,12,0,1555,2,411,1,3,1,220,721,11,0,2,1094,2,0,8,1,0,2,2,222,176,4,1055,2,2,9,1,2,0,9,0,0,1215,1,0,0,0,0,2,1462,0,0,0,0,0,876,544,0,60,2,0,5,0,0,3,2,1,265,1,2,2,10,5,1,4222,0,6,0,2,1060,2482,1,2121,2127,2138,1019,395,23,48,0,284,0,1,832,50,0,1,0,0,4,261,4,1,2822,2264,1844,1430,1,398,3,10,2,2149,1,0,0,3,0,0,2,0,14,0,8,0,3,0,1,2224,0,4,2,0,1,0,12,5,2,2,4,1,0,0,2,1,3,0,3,0,1,0,87,6,379,1,3,0,3,9,1,4,6,0,1,3,21,103,0,73,0,3,1555,1851,735,43,866,1639,1,3821,3833,1886,2080,0,1,3,8,53,0,698,3,0,1033,1,0,1,0,3,7,14,1,0,1,16,213,1218,1663,760,8
2022-01-05,1,0,2,37,0,0,42,1,1,16,2,15,252,2,0,0,4,2,1,0,3,3,0,260,12,2,1,2,1,0,0,1,21,0,2,1,1,1,3,10,221,76,1244,0,83,0,7,2027,1,460,4,16,3,0,2,3,0,0,0,0,6,4,1,1,32,4,1,1533,2,377,0,0,0,241,664,2,0,2,1156,5,1,9,2,0,1,2,258,139,1,1083,3,4,5,0,3,0,22,0,0,1186,1,0,0,0,0,1,1568,1,0,0,0,1,856,546,0,64,3,0,4,1,2,0,2,1,264,0,7,0,10,5,2,3716,1,2,2,1,1090,2095,0,2094,2177,2280,1074,455,19,40,0,307,0,0,832,51,0,0,0,0,2,330,4,0,2770,2325,2031,1317,0,376,4,9,3,2348,1,0,1,0,0,0,1,0,12,0,10,1,0,0,0,2218,0,2,4,1,1,1,20,1,2,1,3,0,0,0,0,0,0,0,4,0,1,1,78,5,373,0,3,0,3,5,5,4,6,2,0,1,15,89,1,65,0,1,1613,1896,703,40,925,1706,2,3894,3791,1765,2264,0,2,2,7,64,0,658,3,2,1064,1,0,0,0,2,4,5,1,1,0,13,247,1142,1717,616,5
2022-01-06,1,0,2,42,0,0,42,0,0,18,1,25,290,3,0,0,3,3,1,1,0,2,1,284,16,5,0,2,1,0,0,0,23,0,3,2,3,0,2,13,256,78,1400,1,68,0,4,2189,5,464,3,15,1,1,1,3,0,0,0,3,9,5,1,0,37,7,0,1682,5,319,6,7,0,255,739,13,2,4,1416,4,0,6,2,0,2,0,266,180,7,1251,1,3,6,0,9,0,18,2,0,1187,0,1,0,0,0,2,1753,0,0,0,0,2,987,713,0,62,1,0,4,1,0,0,3,0,288,1,3,1,8,8,1,3037,2,2,0,2,1074,1691,2,2182,2414,2315,1136,505,18,43,1,380,0,0,851,59,0,1,1,0,2,364,3,0,3064,2472,2052,1608,3,413,4,7,2,2441,1,0,2,2,0,0,5,0,17,0,12,4,1,0,2,2322,0,5,2,2,1,1,22,1,0,3,1,3,0,2,1,3,0,0,8,0,1,0,83,2,446,2,4,0,5,3,2,3,3,2,0,2,22,100,1,75,0,4,1735,2073,874,44,885,1964,0,4242,4331,1992,2451,0,5,4,3,57,0,840,2,2,1333,2,0,1,0,3,5,10,1,0,3,9,271,1337,1949,528,13
2022-01-07,1,0,1,54,0,0,39,0,0,6,0,15,262,1,0,2,2,1,0,0,1,1,0,251,25,2,0,5,1,0,0,1,24,0,0,2,6,4,6,9,273,78,1338,0,68,0,0,2201,7,440,0,9,0,0,5,2,0,0,0,0,7,1,0,0,32,11,0,1621,2,307,1,2,0,253,642,1,2,2,1721,3,0,3,1,0,1,1,273,145,1,1172,0,0,3,0,5,0,27,0,0,1058,0,0,0,0,0,1,1690,2,0,0,0,4,901,803,0,63,1,0,4,0,1,0,2,1,291,0,3,0,17,2,0,2581,2,1,1,2,1166,1586,0,1743,2299,2256,918,537,17,37,0,524,0,0,698,53,0,0,1,0,3,414,3,0,2275,1875,1777,1340,2,314,0,8,3,1991,0,0,0,3,0,0,1,0,14,0,18,1,0,0,2,2086,0,4,2,3,1,0,9,0,2,4,1,0,0,1,2,1,1,0,1,0,2,0,72,2,447,0,1,0,3,4,1,1,7,1,0,3,23,70,3,56,0,1,1541,1957,703,46,810,1800,0,3342,3272,1631,2068,0,1,1,6,49,1,702,4,0,1611,0,0,0,0,0,10,15,3,0,0,14,259,956,1769,487,1
2022-01-08,0,0,0,94,0,0,55,0,0,16,0,28,305,2,0,0,2,2,1,0,0,2,0,259,17,0,0,1,3,0,0,0,18,0,7,1,8,1,1,4,277,75,1368,2,85,0,2,2700,4,499,3,6,1,1,1,5,0,0,0,2,8,2,4,0,21,8,1,2150,2,232,2,2,0,224,555,6,1,0,3088,5,0,15,0,0,1,1,282,152,3,1743,1,1,6,2,3,0,15,0,0,1092,1,0,0,0,0,1,2079,1,0,0,0,6,1166,1524,0,70,2,0,2,0,2,2,0,0,446,0,3,0,10,10,2,3529,2,2,0,1,1039,1578,1,1333,2547,2696,892,839,20,36,0,1163,0,0,815,56,0,0,5,0,2,787,1,0,2161,1688,1896,1501,2,308,0,7,1,2069,2,0,2,2,0,0,1,0,15,0,18,1,0,0,1,2601,0,5,4,1,3,0,15,1,0,6,3,1,0,0,0,0,1,0,4,0,0,1,93,2,759,0,0,1,4,5,1,1,3,1,0,1,14,115,5,74,0,1,1721,2315,955,91,854,2228,2,3002,3080,1744,2482,0,2,1,9,43,0,1058,3,0,2769,1,0,2,0,5,25,9,1,0,0,17,359,1014,2087,612,9
2022-01-09,0,1,0,90,1,0,46,0,1,15,0,14,219,3,0,0,3,0,1,0,0,2,0,190,13,4,0,1,1,0,0,0,22,0,1,3,5,1,4,3,184,56,940,1,47,0,3,2144,4,436,3,9,0,0,0,2,0,0,0,0,4,5,1,0,29,8,0,1623,2,337,1,2,0,208,479,5,1,0,2382,5,4,8,3,0,1,1,169,104,1,1250,0,0,9,1,1,0,19,1,0,814,0,0,0,0,0,0,1526,1,0,0,0,13,776,1014,0,67,0,0,1,0,0,0,1,1,279,0,2,0,10,4,1,3796,2,2,0,0,832,2148,1,986,1827,1996,663,634,16,44,1,1007,2,0,580,37,1,0,0,0,0,602,9,1,1440,1313,1308,1005,2,252,1,5,3,1510,0,0,0,1,0,0,2,0,14,0,18,0,0,0,0,2153,0,5,3,2,1,1,12,2,0,2,1,2,0,1,0,1,0,0,1,0,2,0,66,6,557,0,4,0,4,4,5,0,5,0,0,1,18,92,3,53,1,1,1270,1686,672,101,613,1470,3,2110,2056,1420,1910,0,4,0,7,28,0,724,3,1,1876,3,0,2,0,0,19,19,0,1,1,12,213,742,1613,549,11
2022-01-10,0,0,0,32,1,0,51,1,0,18,0,17,266,2,1,0,3,1,0,3,4,0,0,274,9,4,0,4,0,0,0,0,20,1,2,1,1,1,3,9,236,94,1244,1,59,0,2,1845,3,398,3,12,1,3,1,0,1,1,0,1,7,2,1,0,32,2,1,1531,3,258,2,1,2,252,724,9,0,0,1132,4,2,6,3,0,0,2,265,143,1,1049,3,5,9,1,8,0,19,0,0,1172,1,1,0,0,0,1,1537,2,0,0,0,5,853,494,0,80,5,0,5,0,1,3,4,2,235,0,5,0,12,3,3,3201,4,4,3,0,1103,1681,2,2266,2223,2212,1079,388,18,40,0,251,0,0,774,64,1,0,1,1,5,291,5,3,2727,2428,1891,1338,3,418,3,11,1,2227,1,0,0,5,0,0,0,0,19,2,9,0,1,0,1,2284,0,1,4,1,3,0,17,2,0,3,4,1,0,1,0,3,2,0,4,0,0,0,81,2,296,1,3,0,4,4,1,0,5,3,0,1,11,97,2,68,2,2,1536,1640,706,46,917,1696,1,4225,4109,1922,2200,0,1,3,9,67,1,711,1,2,1013,1,0,0,0,4,4,4,0,1,1,15,234,1256,1733,496,5
